episode_id,ground_truth,decoded_intent,duration_min,is_compositional,is_training,is_repair_trial,repair_outcome,is_uncertainty_trial,difficulty,agent_response
E0605,1,1,0.277,0,0,0,,1,easy,correct
E0331,10,10,0.5,0,0,0,,0,,correct
E0634,0,0,0.319,0,0,0,,1,easy,correct
E0753,0,0,0.407,0,0,0,,1,hard,correct
E0124,8,10,0.586,0,0,0,,0,,incorrect
E0527,8,9,0.728,0,0,1,abandoned,0,,failed
E0167,11,11,0.446,0,0,0,,0,,correct
E0526,6,11,0.618,0,0,1,modify_failed,0,,failed
E0557,6,6,0.398,0,0,1,recovered,0,,recovered
E0661,1,1,0.403,0,0,0,,1,easy,correct
E0296,7,7,0.419,0,0,0,,0,,correct
E0272,2,7,0.492,0,0,0,,0,,incorrect
E0653,0,0,0.412,0,0,0,,1,easy,correct
E0073,3,3,0.296,0,0,0,,0,,correct
E0507,3,10,0.624,0,0,1,repeat_failed,0,,failed
E0685,1,1,0.55,0,0,0,,1,easy,correct
E0329,10,10,0.432,0,0,0,,0,,correct
E0170,2,2,0.449,0,0,0,,0,,correct
E0057,0,2,0.368,0,0,0,,0,,incorrect
E0150,3,7,0.544,0,0,0,,0,,incorrect
E0279,6,6,0.502,0,0,0,,0,,correct
E0144,3,3,0.584,0,0,0,,0,,correct
E0035,8,8,0.377,0,0,0,,0,,correct
E0189,9,9,0.32,0,0,0,,0,,correct
E0376,5,5,0.556,0,0,0,,0,,correct
E0114,3,3,0.439,0,0,0,,0,,correct
E0274,10,10,0.488,0,0,0,,0,,correct
E0709,1,1,0.468,0,0,0,,1,easy,correct
E0196,10,10,0.364,0,0,0,,0,,correct
E0299,2,2,0.414,0,0,0,,0,,correct
E0104,9,9,0.671,0,0,0,,0,,correct
E0209,5,7,0.633,0,0,0,,0,,incorrect
E0791,0,0,0.226,0,0,0,,1,hard,correct
E0091,1,9,0.541,0,0,0,,0,,incorrect
E0178,0,7,0.377,0,0,0,,0,,incorrect
E0338,3,3,0.548,0,0,0,,0,,correct
E0704,0,0,0.652,0,0,0,,1,easy,correct
E0484,3,10,0.493,0,0,1,repeat_failed,0,,failed
E0778,1,1,0.541,0,0,0,,1,hard,correct
E0724,1,1,0.533,0,0,0,,1,easy,correct
E0696,0,0,0.428,0,0,0,,1,easy,correct
E0744,1,1,0.292,0,0,0,,1,hard,correct
E0154,4,4,0.45,0,0,0,,0,,correct
E0326,11,11,0.282,0,0,0,,0,,correct
E0736,1,0,0.232,0,0,0,,1,easy,incorrect
E0151,1,3,0.48,0,0,0,,0,,incorrect
E0071,1,1,0.423,0,0,0,,0,,correct
E0147,3,3,0.491,0,0,0,,0,,correct
E0029,9,9,0.447,0,0,0,,0,,correct
E0392,5,4,0.529,0,0,0,,0,,incorrect
E0503,6,6,0.61,0,0,1,recovered,0,,recovered
E0472,4,4,0.357,1,1,0,,0,,correct
E0365,1,1,0.333,0,0,0,,0,,correct
E0382,3,3,0.314,0,0,0,,0,,correct
E0425,9,9,0.307,0,0,0,,0,,correct
E0652,0,0,0.277,0,0,0,,1,easy,correct
E0517,8,2,0.513,0,0,1,escalate_failed,0,,failed
E0103,6,6,0.382,0,0,0,,0,,correct
E0706,0,0,0.626,0,0,0,,1,easy,correct
E0690,0,0,0.506,0,0,0,,1,easy,correct
E0657,1,1,0.486,0,0,0,,1,easy,correct
E0315,3,3,0.601,0,0,0,,0,,correct
E0722,0,0,0.684,0,0,0,,1,easy,correct
E0727,1,1,0.559,0,0,0,,1,easy,correct
E0734,1,1,0.562,0,0,0,,1,easy,correct
E0277,5,5,0.339,0,0,0,,0,,correct
E0229,11,8,0.253,0,0,0,,0,,incorrect
E0595,4,6,0.46,0,0,1,abandoned,0,,failed
E0337,2,2,0.612,0,0,0,,0,,correct
E0720,0,0,0.506,0,0,0,,1,easy,correct
E0198,10,10,0.502,0,0,0,,0,,correct
E0019,2,2,0.452,0,0,0,,0,,correct
E0389,7,7,0.555,0,0,0,,0,,correct
E0168,3,3,0.526,0,0,0,,0,,correct
E0318,6,8,0.627,0,0,0,,0,,incorrect
E0650,1,1,0.369,0,0,0,,1,easy,correct
E0421,3,8,0.56,0,0,0,,0,,incorrect
E0529,7,8,0.869,0,0,1,abandoned,0,,failed
E0372,2,2,0.504,0,0,0,,0,,correct
E0743,0,1,0.414,0,0,0,,1,hard,incorrect
E0253,7,7,0.525,0,0,0,,0,,correct
E0180,8,8,0.644,0,0,0,,0,,correct
E0492,8,4,0.575,0,0,1,repeat_failed,0,,failed
E0639,1,1,0.363,0,0,0,,1,easy,correct
E0773,0,-1,0.294,0,0,0,,1,hard,UNKNOWN
E0320,1,1,0.511,0,0,0,,0,,correct
E0213,3,6,0.555,0,0,0,,0,,incorrect
E0444,8,8,0.351,0,0,0,,0,,correct
E0252,9,9,0.545,0,0,0,,0,,correct
E0060,10,10,0.522,0,0,0,,0,,correct
E0463,7,7,0.514,1,1,0,,0,,correct
E0399,9,0,0.266,0,0,0,,0,,incorrect
E0363,5,5,0.326,0,0,0,,0,,correct
E0454,5,5,0.632,0,0,0,,0,,correct
E0601,1,1,0.304,0,0,0,,1,easy,correct
E0434,3,3,0.38,0,0,0,,0,,correct
E0123,11,11,0.465,0,0,0,,0,,correct
E0442,3,3,0.582,0,0,0,,0,,correct
E0432,3,3,0.369,0,0,0,,0,,correct
E0577,0,10,0.474,0,0,1,modify_failed,0,,failed
E0140,4,8,0.505,0,0,0,,0,,incorrect
E0769,1,1,0.421,0,0,0,,1,hard,correct
E0333,11,11,0.686,0,0,0,,0,,correct
E0584,10,0,0.708,0,0,1,abandoned,0,,failed
E0663,0,0,0.529,0,0,0,,1,easy,correct
E0245,0,0,0.288,0,0,0,,0,,correct
E0473,5,5,0.7,1,1,0,,0,,correct
E0319,11,11,0.442,0,0,0,,0,,correct
E0695,0,0,0.52,0,0,0,,1,easy,correct
E0609,0,0,0.389,0,0,0,,1,easy,correct
E0312,2,3,0.268,0,0,0,,0,,incorrect
E0592,11,11,0.489,0,0,1,recovered,0,,recovered
E0341,11,11,0.571,0,0,0,,0,,correct
E0558,6,6,0.973,0,0,1,recovered,0,,recovered
E0113,0,0,0.251,0,0,0,,0,,correct
E0758,1,1,0.403,0,0,0,,1,hard,correct
E0250,6,6,0.242,0,0,0,,0,,correct
E0031,4,9,0.467,0,0,0,,0,,incorrect
E0763,0,0,0.372,0,0,0,,1,hard,correct
E0097,8,8,0.445,0,0,0,,0,,correct
E0308,8,8,0.471,0,0,0,,0,,correct
E0405,7,7,0.59,0,0,0,,0,,correct
E0593,8,1,0.358,0,0,1,escalate_failed,0,,failed
E0335,1,1,0.572,0,0,0,,0,,correct
E0483,5,8,0.394,0,0,1,abandoned,0,,failed
E0018,9,9,0.412,0,0,0,,0,,correct
E0499,4,3,0.764,0,0,1,abandoned,0,,failed
E0491,0,0,0.462,0,0,1,recovered,0,,recovered
E0304,7,7,0.45,0,0,0,,0,,correct
E0037,4,4,0.503,0,0,0,,0,,correct
E0739,1,1,0.387,0,0,0,,1,easy,correct
E0084,9,9,0.522,0,0,0,,0,,correct
E0008,5,5,0.515,0,0,0,,0,,correct
E0747,0,-1,0.259,0,0,0,,1,hard,UNKNOWN
E0476,8,8,0.801,1,0,0,,0,,correct
E0127,6,6,0.381,0,0,0,,0,,correct
E0383,11,11,0.331,0,0,0,,0,,correct
E0705,1,1,0.332,0,0,0,,1,easy,correct
E0305,9,9,0.385,0,0,0,,0,,correct
E0055,10,10,0.521,0,0,0,,0,,correct
E0311,10,10,0.276,0,0,0,,0,,correct
E0258,6,6,0.569,0,0,0,,0,,correct
E0730,0,1,0.376,0,0,0,,1,easy,incorrect
E0023,10,10,0.401,0,0,0,,0,,correct
E0059,9,9,0.471,0,0,0,,0,,correct
E0002,8,8,0.507,0,0,0,,0,,correct
E0795,0,0,0.379,0,0,0,,1,hard,correct
E0112,8,0,0.386,0,0,0,,0,,incorrect
E0248,9,9,0.428,0,0,0,,0,,correct
E0366,6,6,0.401,0,0,0,,0,,correct
E0289,3,3,0.27,0,0,0,,0,,correct
E0770,0,-1,0.357,0,0,0,,1,hard,UNKNOWN
E0026,9,9,0.351,0,0,0,,0,,correct
E0047,4,9,0.178,0,0,0,,0,,incorrect
E0417,10,10,0.91,0,0,0,,0,,correct
E0790,0,1,0.353,0,0,0,,1,hard,incorrect
E0012,11,11,0.352,0,0,0,,0,,correct
E0641,1,1,0.52,0,0,0,,1,easy,correct
E0262,4,4,0.304,0,0,0,,0,,correct
E0521,8,11,0.433,0,0,1,modify_failed,0,,failed
E0377,11,11,0.531,0,0,0,,0,,correct
E0125,4,5,0.399,0,0,0,,0,,incorrect
E0716,0,0,0.483,0,0,0,,1,easy,correct
E0602,0,-1,0.371,0,0,0,,1,easy,UNKNOWN
E0375,7,5,0.525,0,0,0,,0,,incorrect
E0115,9,9,0.56,0,0,0,,0,,correct
E0656,1,1,0.514,0,0,0,,1,easy,correct
E0624,1,1,0.469,0,0,0,,1,easy,correct
E0163,5,5,0.39,0,0,0,,0,,correct
E0567,6,0,0.369,0,0,1,escalate_failed,0,,failed
E0684,1,0,0.482,0,0,0,,1,easy,incorrect
E0625,0,0,0.461,0,0,0,,1,easy,correct
E0046,3,3,0.209,0,0,0,,0,,correct
E0303,1,1,0.301,0,0,0,,0,,correct
E0218,2,2,0.65,0,0,0,,0,,correct
E0328,5,5,0.391,0,0,0,,0,,correct
E0105,7,7,0.312,0,0,0,,0,,correct
E0427,10,6,0.283,0,0,0,,0,,incorrect
E0360,5,8,0.372,0,0,0,,0,,incorrect
E0555,10,11,0.469,0,0,1,escalate_failed,0,,failed
E0460,4,4,0.82,1,1,0,,0,,correct
E0581,0,3,0.429,0,0,1,repeat_failed,0,,failed
E0072,3,3,0.609,0,0,0,,0,,correct
E0780,1,1,0.286,0,0,0,,1,hard,correct
E0598,5,5,0.481,0,0,1,recovered,0,,recovered
E0497,5,2,0.449,0,0,1,escalate_failed,0,,failed
E0755,1,0,0.313,0,0,0,,1,hard,incorrect
E0156,10,11,0.676,0,0,0,,0,,incorrect
E0232,5,5,0.402,0,0,0,,0,,correct
E0537,1,10,0.662,0,0,1,abandoned,0,,failed
E0373,9,9,0.386,0,0,0,,0,,correct
E0477,9,9,0.69,1,0,0,,0,,incorrect
E0681,0,0,0.271,0,0,0,,1,easy,correct
E0354,1,1,0.505,0,0,0,,0,,correct
E0108,0,3,0.309,0,0,0,,0,,incorrect
E0020,1,1,0.364,0,0,0,,0,,correct
E0307,10,10,0.281,0,0,0,,0,,correct
E0056,10,1,0.517,0,0,0,,0,,incorrect
E0575,1,5,0.467,0,0,1,abandoned,0,,failed
E0212,0,0,0.51,0,0,0,,0,,correct
E0099,8,8,0.419,0,0,0,,0,,correct
E0666,0,0,0.377,0,0,0,,1,easy,correct
E0188,2,2,0.743,0,0,0,,0,,correct
E0680,0,0,0.657,0,0,0,,1,easy,correct
E0041,10,3,0.417,0,0,0,,0,,incorrect
E0063,1,1,0.675,0,0,0,,0,,correct
E0388,8,8,0.633,0,0,0,,0,,correct
E0767,1,0,0.331,0,0,0,,1,hard,incorrect
E0456,3,8,0.391,0,0,0,,0,,incorrect
E0561,11,1,0.405,0,0,1,repeat_failed,0,,failed
E0640,1,1,0.355,0,0,0,,1,easy,correct
E0096,4,4,1.011,0,0,0,,0,,correct
E0191,4,4,0.502,0,0,0,,0,,correct
E0003,11,11,0.464,0,0,0,,0,,correct
E0118,11,11,0.563,0,0,0,,0,,correct
E0450,11,11,0.322,0,0,0,,0,,correct
E0220,0,0,0.319,0,0,0,,0,,correct
E0342,9,9,0.514,0,0,0,,0,,correct
E0419,9,9,0.584,0,0,0,,0,,correct
E0632,1,1,0.459,0,0,0,,1,easy,correct
E0251,8,8,0.492,0,0,0,,0,,correct
E0431,10,10,0.547,0,0,0,,0,,correct
E0536,3,8,0.529,0,0,1,abandoned,0,,failed
E0371,8,8,0.788,0,0,0,,0,,correct
E0395,1,1,0.384,0,0,0,,0,,correct
E0573,10,10,1.189,0,0,1,recovered,0,,recovered
E0726,1,1,0.377,0,0,0,,1,easy,correct
E0616,1,1,0.284,0,0,0,,1,easy,correct
E0654,1,1,0.298,0,0,0,,1,easy,correct
E0155,0,0,0.475,0,0,0,,0,,correct
E0317,5,5,0.502,0,0,0,,0,,correct
E0401,6,6,0.54,0,0,0,,0,,correct
E0340,2,2,0.479,0,0,0,,0,,correct
E0468,0,7,0.59,1,1,0,,0,,incorrect
E0157,4,4,0.531,0,0,0,,0,,correct
E0349,9,9,0.603,0,0,0,,0,,correct
E0045,0,0,0.558,0,0,0,,0,,correct
E0597,9,9,0.53,0,0,1,recovered,0,,recovered
E0636,1,1,0.323,0,0,0,,1,easy,correct
E0246,7,7,0.395,0,0,0,,0,,correct
E0501,3,0,0.611,0,0,1,escalate_failed,0,,failed
E0543,2,7,1.037,0,0,1,escalate_failed,0,,failed
E0424,0,0,0.336,0,0,0,,0,,correct
E0752,1,0,0.602,0,0,0,,1,hard,incorrect
E0222,7,7,0.432,0,0,0,,0,,correct
E0288,4,4,0.821,0,0,0,,0,,correct
E0233,2,2,0.54,0,0,0,,0,,correct
E0738,1,1,0.743,0,0,0,,1,easy,correct
E0298,1,1,0.741,0,0,0,,0,,correct
E0660,0,0,0.37,0,0,0,,1,easy,correct
E0486,2,2,0.413,0,0,1,recovered,0,,recovered
E0325,0,0,0.246,0,0,0,,0,,correct
E0139,11,8,0.461,0,0,0,,0,,incorrect
E0586,4,4,0.451,0,0,1,recovered,0,,recovered
E0239,3,3,0.592,0,0,0,,0,,correct
E0513,3,3,0.559,0,0,1,recovered,0,,recovered
E0644,1,1,0.436,0,0,0,,1,easy,correct
E0546,8,7,0.838,0,0,1,abandoned,0,,failed
E0017,2,2,0.334,0,0,0,,0,,correct
E0014,0,0,0.395,0,0,0,,0,,correct
E0797,0,-1,0.415,0,0,0,,1,hard,UNKNOWN
E0509,0,10,0.422,0,0,1,escalate_failed,0,,failed
E0452,8,8,0.503,0,0,0,,0,,correct
E0336,4,11,0.843,0,0,0,,0,,incorrect
E0226,11,11,0.259,0,0,0,,0,,correct
E0403,7,8,0.428,0,0,0,,0,,incorrect
E0126,7,7,0.352,0,0,0,,0,,correct
E0631,1,1,0.357,0,0,0,,1,easy,correct
E0698,0,0,0.433,0,0,0,,1,easy,correct
E0594,9,3,0.585,0,0,1,abandoned,0,,failed
E0642,1,1,0.215,0,0,0,,1,easy,correct
E0079,9,9,0.24,0,0,0,,0,,correct
E0316,6,6,0.269,0,0,0,,0,,correct
E0474,6,6,0.322,1,1,0,,0,,correct
E0658,1,1,0.339,0,0,0,,1,easy,correct
E0042,3,3,0.337,0,0,0,,0,,correct
E0268,7,1,0.438,0,0,0,,0,,incorrect
E0580,9,0,0.609,0,0,1,repeat_failed,0,,failed
E0013,10,10,0.509,0,0,0,,0,,correct
E0538,11,9,0.422,0,0,1,repeat_failed,0,,failed
E0475,7,7,0.731,1,1,0,,0,,correct
E0691,1,1,0.488,0,0,0,,1,easy,correct
E0032,11,11,0.632,0,0,0,,0,,correct
E0048,10,10,0.514,0,0,0,,0,,correct
E0052,9,9,0.193,0,0,0,,0,,correct
E0414,11,11,0.705,0,0,0,,0,,correct
E0339,5,9,0.47,0,0,0,,0,,incorrect
E0775,0,-1,0.379,0,0,0,,1,hard,UNKNOWN
E0462,6,6,0.397,1,1,0,,0,,correct
E0701,1,1,0.549,0,0,0,,1,easy,correct
E0443,7,9,0.733,0,0,0,,0,,incorrect
E0064,5,5,0.661,0,0,0,,0,,correct
E0011,10,10,0.547,0,0,0,,0,,correct
E0467,11,11,0.543,1,1,0,,0,,correct
E0367,3,3,0.407,0,0,0,,0,,correct
E0637,1,1,0.363,0,0,0,,1,easy,correct
E0774,1,-1,0.431,0,0,0,,1,hard,UNKNOWN
E0266,2,2,0.424,0,0,0,,0,,correct
E0300,7,7,0.438,0,0,0,,0,,correct
E0480,6,1,0.641,0,0,1,abandoned,0,,failed
E0512,1,1,0.66,0,0,1,recovered,0,,recovered
E0649,1,1,0.471,0,0,0,,1,easy,correct
E0202,7,1,0.633,0,0,0,,0,,incorrect
E0330,1,1,0.488,0,0,0,,0,,correct
E0309,10,10,0.41,0,0,0,,0,,correct
E0136,1,1,0.508,0,0,0,,0,,correct
E0149,11,11,0.203,0,0,0,,0,,correct
E0334,1,1,0.353,0,0,0,,0,,correct
E0162,6,6,0.644,0,0,0,,0,,correct
E0160,5,5,0.42,0,0,0,,0,,correct
E0116,2,2,0.316,0,0,0,,0,,correct
E0569,7,6,0.555,0,0,1,modify_failed,0,,failed
E0082,6,6,0.49,0,0,0,,0,,correct
E0689,1,1,0.405,0,0,0,,1,easy,correct
E0619,0,0,0.31,0,0,0,,1,easy,correct
E0531,6,8,0.647,0,0,1,abandoned,0,,failed
E0574,1,3,0.585,0,0,1,escalate_failed,0,,failed
E0470,2,2,0.874,1,1,0,,0,,correct
E0446,8,8,0.519,0,0,0,,0,,correct
E0761,1,1,0.304,0,0,0,,1,hard,correct
E0172,7,9,0.47,0,0,0,,0,,incorrect
E0327,0,0,0.35,0,0,0,,0,,correct
E0719,0,0,0.414,0,0,0,,1,easy,correct
E0458,7,7,0.447,0,0,0,,0,,correct
E0559,10,10,0.372,0,0,1,recovered,0,,recovered
E0794,1,-1,0.324,0,0,0,,1,hard,UNKNOWN
E0787,0,0,0.396,0,0,0,,1,hard,correct
E0674,1,1,0.404,0,0,0,,1,easy,correct
E0733,1,1,0.578,0,0,0,,1,easy,correct
E0040,6,6,0.322,0,0,0,,0,,correct
E0228,6,6,0.424,0,0,0,,0,,correct
E0789,1,0,0.433,0,0,0,,1,hard,incorrect
E0261,5,5,0.491,0,0,0,,0,,correct
E0344,2,2,0.305,0,0,0,,0,,correct
E0505,9,6,0.54,0,0,1,escalate_failed,0,,failed
E0757,0,1,0.41,0,0,0,,1,hard,incorrect
E0145,8,8,0.23,0,0,0,,0,,correct
E0496,0,8,0.777,0,0,1,modify_failed,0,,failed
E0541,4,1,0.888,0,0,1,abandoned,0,,failed
E0461,5,5,0.302,1,1,0,,0,,correct
E0332,4,4,0.514,0,0,0,,0,,correct
E0451,3,3,0.507,0,0,0,,0,,correct
E0295,8,3,0.326,0,0,0,,0,,incorrect
E0101,3,3,0.596,0,0,0,,0,,correct
E0310,5,5,0.564,0,0,0,,0,,correct
E0682,1,1,0.393,0,0,0,,1,easy,correct
E0673,1,1,0.493,0,0,0,,1,easy,correct
E0062,4,0,0.452,0,0,0,,0,,incorrect
E0703,1,1,0.27,0,0,0,,1,easy,correct
E0630,0,0,0.382,0,0,0,,1,easy,correct
E0176,5,5,0.313,0,0,0,,0,,correct
E0511,11,11,0.55,0,0,1,recovered,0,,recovered
E0285,6,6,0.362,0,0,0,,0,,correct
E0514,11,11,0.638,0,0,1,recovered,0,,recovered
E0400,2,0,0.347,0,0,0,,0,,incorrect
E0184,9,9,0.563,0,0,0,,0,,correct
E0746,1,0,0.421,0,0,0,,1,hard,incorrect
E0779,1,1,0.249,0,0,0,,1,hard,correct
E0381,10,10,0.33,0,0,0,,0,,correct
E0455,9,9,0.525,0,0,0,,0,,correct
E0049,0,0,0.492,0,0,0,,0,,correct
E0426,8,8,0.299,0,0,0,,0,,correct
E0243,11,11,0.41,0,0,0,,0,,correct
E0130,3,3,0.439,0,0,0,,0,,correct
E0110,5,5,0.559,0,0,0,,0,,correct
E0030,2,2,0.313,0,0,0,,0,,correct
E0083,0,0,0.396,0,0,0,,0,,correct
E0353,3,3,0.74,0,0,0,,0,,correct
E0050,0,9,0.289,0,0,0,,0,,incorrect
E0203,7,7,0.324,0,0,0,,0,,correct
E0024,0,0,0.353,0,0,0,,0,,correct
E0718,1,0,0.398,0,0,0,,1,easy,incorrect
E0287,6,10,0.351,0,0,0,,0,,incorrect
E0128,7,7,0.216,0,0,0,,0,,correct
E0760,0,0,0.386,0,0,0,,1,hard,correct
E0571,1,1,0.45,0,0,1,recovered,0,,recovered
E0402,4,5,0.468,0,0,0,,0,,incorrect
E0490,0,7,0.342,0,0,1,modify_failed,0,,failed
E0618,0,0,0.409,0,0,0,,1,easy,correct
E0273,6,6,0.699,0,0,0,,0,,correct
E0564,9,0,0.627,0,0,1,escalate_failed,0,,failed
E0519,9,3,0.787,0,0,1,repeat_failed,0,,failed
E0068,0,0,0.584,0,0,0,,0,,correct
E0466,10,10,0.786,1,1,0,,0,,correct
E0215,7,7,0.345,0,0,0,,0,,correct
E0648,0,1,0.303,0,0,0,,1,easy,incorrect
E0721,1,1,0.283,0,0,0,,1,easy,correct
E0412,10,10,0.409,0,0,0,,0,,correct
E0242,10,10,0.567,0,0,0,,0,,correct
E0076,2,2,0.31,0,0,0,,0,,correct
E0378,10,10,0.862,0,0,0,,0,,correct
E0508,10,1,0.64,0,0,1,modify_failed,0,,failed
E0583,5,9,0.323,0,0,1,repeat_failed,0,,failed
E0725,1,1,0.334,0,0,0,,1,easy,correct
E0195,10,3,0.541,0,0,0,,0,,incorrect
E0438,5,5,0.423,0,0,0,,0,,correct
E0796,1,1,0.447,0,0,0,,1,hard,correct
E0284,8,8,0.314,0,0,0,,0,,correct
E0708,1,0,0.319,0,0,0,,1,easy,incorrect
E0411,5,5,0.312,0,0,0,,0,,correct
E0138,3,3,0.382,0,0,0,,0,,correct
E0369,9,9,0.345,0,0,0,,0,,correct
E0655,1,1,0.357,0,0,0,,1,easy,correct
E0587,3,8,0.334,0,0,1,repeat_failed,0,,failed
E0117,6,6,0.373,0,0,0,,0,,correct
E0498,4,6,0.439,0,0,1,abandoned,0,,failed
E0551,10,10,0.819,0,0,1,recovered,0,,recovered
E0067,8,8,0.366,0,0,0,,0,,correct
E0627,0,0,0.266,0,0,0,,1,easy,correct
E0728,0,0,0.542,0,0,0,,1,easy,correct
E0230,11,6,0.626,0,0,0,,0,,incorrect
E0143,2,2,0.298,0,0,0,,0,,correct
E0607,1,1,0.551,0,0,0,,1,easy,correct
E0437,0,0,0.494,0,0,0,,0,,correct
E0784,1,-1,0.4,0,0,0,,1,hard,UNKNOWN
E0190,4,4,1.052,0,0,0,,0,,correct
E0385,8,8,0.43,0,0,0,,0,,correct
E0729,0,1,0.3,0,0,0,,1,easy,incorrect
E0214,0,0,0.422,0,0,0,,0,,correct
E0485,4,4,0.939,0,0,1,recovered,0,,recovered
E0217,3,6,0.371,0,0,0,,0,,incorrect
E0606,0,0,0.494,0,0,0,,1,easy,correct
E0094,5,5,0.553,0,0,0,,0,,correct
E0582,0,4,0.755,0,0,1,modify_failed,0,,failed
E0175,10,10,0.447,0,0,0,,0,,correct
E0479,11,11,0.873,1,0,0,,0,,correct
E0241,9,9,0.53,0,0,0,,0,,correct
E0723,1,1,0.376,0,0,0,,1,easy,correct
E0669,0,1,0.483,0,0,0,,1,easy,incorrect
E0134,11,11,0.468,0,0,0,,0,,correct
E0280,11,11,0.86,0,0,0,,0,,correct
E0576,2,1,0.423,0,0,1,abandoned,0,,failed
E0132,4,4,0.283,0,0,0,,0,,correct
E0740,1,-1,0.438,0,0,0,,1,hard,UNKNOWN
E0313,10,10,0.424,0,0,0,,0,,correct
E0185,10,10,0.506,0,0,0,,0,,correct
E0166,0,8,0.321,0,0,0,,0,,incorrect
E0051,2,1,0.283,0,0,0,,0,,incorrect
E0297,6,6,0.676,0,0,0,,0,,correct
E0539,2,9,0.793,0,0,1,escalate_failed,0,,failed
E0107,8,8,0.301,0,0,0,,0,,correct
E0345,1,1,0.456,0,0,0,,0,,correct
E0781,0,1,0.541,0,0,0,,1,hard,incorrect
E0590,5,5,1.063,0,0,1,recovered,0,,recovered
E0672,0,0,0.624,0,0,0,,1,easy,correct
E0788,1,-1,0.351,0,0,0,,1,hard,UNKNOWN
E0560,10,10,0.421,0,0,1,recovered,0,,recovered
E0265,10,5,0.651,0,0,0,,0,,incorrect
E0357,8,8,0.471,0,0,0,,0,,correct
E0061,3,3,0.518,0,0,0,,0,,correct
E0707,1,1,0.522,0,0,0,,1,easy,correct
E0089,10,10,0.517,0,0,0,,0,,correct
E0397,7,7,0.618,0,0,0,,0,,correct
E0351,9,9,0.4,0,0,0,,0,,correct
E0440,5,5,0.558,0,0,0,,0,,correct
E0201,5,4,0.541,0,0,0,,0,,incorrect
E0177,5,7,0.362,0,0,0,,0,,incorrect
E0257,9,9,0.421,0,0,0,,0,,correct
E0766,0,-1,0.49,0,0,0,,1,hard,UNKNOWN
E0276,2,2,0.366,0,0,0,,0,,correct
E0481,8,8,0.667,0,0,1,recovered,0,,recovered
E0745,1,1,0.528,0,0,0,,1,hard,correct
E0216,0,10,0.318,0,0,0,,0,,incorrect
E0717,1,0,0.42,0,0,0,,1,easy,incorrect
E0553,1,3,0.612,0,0,1,escalate_failed,0,,failed
E0027,8,8,0.77,0,0,0,,0,,correct
E0131,10,10,0.548,0,0,0,,0,,correct
E0645,1,1,0.417,0,0,0,,1,easy,correct
E0671,1,1,0.41,0,0,0,,1,easy,correct
E0286,9,9,0.544,0,0,0,,0,,correct
E0540,2,2,0.405,0,0,1,recovered,0,,recovered
E0502,11,1,0.514,0,0,1,modify_failed,0,,failed
E0281,8,8,0.452,0,0,0,,0,,correct
E0524,11,11,0.634,0,0,1,recovered,0,,recovered
