trial_uid,subject,source_file,source_file_sha256,session_T_or_E,source_record_index,task_run_index,within_run_trial_index,trial_sample_matlab,trial_sample_zero_based,cue_sample_zero_based,source_label,canonical_class,artifact_flag,retained,exclusion_reason,epoch_start_sample,epoch_stop_sample_inclusive
S01:T:record03:trial018,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,17,34017,34016,34516,1,left_hand,0,True,,34641,35141
S01:T:record03:trial019,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,18,36053,36052,36552,3,feet,0,True,,36677,37177
S01:T:record03:trial020,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,19,38119,38118,38618,1,left_hand,0,True,,38743,39243
S01:T:record03:trial021,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,20,40189,40188,40688,2,right_hand,0,True,,40813,41313
S01:T:record03:trial022,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,21,42269,42268,42768,4,tongue,1,False,organizer_artifact_flag,42893,43393
S01:T:record03:trial023,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,22,44181,44180,44680,4,tongue,0,True,,44805,45305
S01:T:record03:trial024,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,23,46212,46211,46711,3,feet,0,True,,46836,47336
S01:T:record03:trial025,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,24,48165,48164,48664,1,left_hand,0,True,,48789,49289
S01:T:record03:trial026,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,25,50126,50125,50625,4,tongue,0,True,,50750,51250
S01:T:record03:trial027,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,26,52230,52229,52729,4,tongue,0,True,,52854,53354
S01:T:record03:trial028,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,27,54234,54233,54733,2,right_hand,0,True,,54858,55358
S01:T:record03:trial029,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,28,56209,56208,56708,4,tongue,0,True,,56833,57333
S01:T:record03:trial030,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,29,58235,58234,58734,4,tongue,0,True,,58859,59359
S01:T:record03:trial031,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,30,60306,60305,60805,2,right_hand,0,True,,60930,61430
S01:T:record03:trial032,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,31,62413,62412,62912,1,left_hand,0,True,,63037,63537
S01:T:record03:trial033,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,32,64505,64504,65004,2,right_hand,0,True,,65129,65629
S01:T:record03:trial034,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,33,66596,66595,67095,3,feet,0,True,,67220,67720
S01:T:record03:trial035,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,34,68639,68638,69138,3,feet,0,True,,69263,69763
S01:T:record03:trial036,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,35,70703,70702,71202,3,feet,0,True,,71327,71827
S01:T:record03:trial037,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,36,72723,72722,73222,4,tongue,0,True,,73347,73847
S01:T:record03:trial038,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,37,74695,74694,75194,3,feet,0,True,,75319,75819
S01:T:record03:trial039,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,38,76658,76657,77157,1,left_hand,0,True,,77282,77782
S01:T:record03:trial040,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,39,78583,78582,79082,4,tongue,0,True,,79207,79707
S01:T:record03:trial041,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,40,80664,80663,81163,2,right_hand,0,True,,81288,81788
S01:T:record03:trial042,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,41,82642,82641,83141,3,feet,0,True,,83266,83766
S01:T:record03:trial043,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,42,84632,84631,85131,2,right_hand,0,True,,85256,85756
S01:T:record03:trial044,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,43,86751,86750,87250,3,feet,0,True,,87375,87875
S01:T:record03:trial045,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,44,88657,88656,89156,4,tongue,0,True,,89281,89781
S01:T:record03:trial046,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,45,90585,90584,91084,2,right_hand,1,False,organizer_artifact_flag,91209,91709
S01:T:record03:trial047,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,46,92699,92698,93198,3,feet,0,True,,93323,93823
S01:T:record03:trial048,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,3,0,47,94758,94757,95257,1,left_hand,0,True,,95382,95882
S01:T:record04:trial001,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,0,251,250,750,1,left_hand,0,True,,875,1375
S01:T:record04:trial002,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,1,2254,2253,2753,1,left_hand,0,True,,2878,3378
S01:T:record04:trial003,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,2,4172,4171,4671,4,tongue,0,True,,4796,5296
S01:T:record04:trial004,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,3,6124,6123,6623,2,right_hand,0,True,,6748,7248
S01:T:record04:trial005,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,4,8132,8131,8631,1,left_hand,1,False,organizer_artifact_flag,8756,9256
S01:T:record04:trial006,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,5,10243,10242,10742,3,feet,0,True,,10867,11367
S01:T:record04:trial007,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,6,12160,12159,12659,1,left_hand,0,True,,12784,13284
S01:T:record04:trial008,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,7,14210,14209,14709,3,feet,0,True,,14834,15334
S01:T:record04:trial009,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,8,16141,16140,16640,2,right_hand,1,False,organizer_artifact_flag,16765,17265
S01:T:record04:trial010,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,9,18139,18138,18638,4,tongue,0,True,,18763,19263
S01:T:record04:trial011,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,10,20045,20044,20544,1,left_hand,0,True,,20669,21169
S01:T:record04:trial012,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,11,21940,21939,22439,3,feet,0,True,,22564,23064
S01:T:record04:trial013,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,12,23912,23911,24411,3,feet,0,True,,24536,25036
S01:T:record04:trial014,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,13,25856,25855,26355,1,left_hand,0,True,,26480,26980
S01:T:record04:trial015,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,14,27823,27822,28322,3,feet,0,True,,28447,28947
S01:T:record04:trial016,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,15,29943,29942,30442,2,right_hand,0,True,,30567,31067
S01:T:record04:trial017,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,16,31951,31950,32450,4,tongue,0,True,,32575,33075
S01:T:record04:trial018,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,17,34017,34016,34516,4,tongue,0,True,,34641,35141
S01:T:record04:trial019,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,18,36053,36052,36552,4,tongue,0,True,,36677,37177
S01:T:record04:trial020,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,19,38119,38118,38618,3,feet,1,False,organizer_artifact_flag,38743,39243
S01:T:record04:trial021,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,20,40189,40188,40688,1,left_hand,0,True,,40813,41313
S01:T:record04:trial022,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,21,42269,42268,42768,4,tongue,0,True,,42893,43393
S01:T:record04:trial023,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,22,44181,44180,44680,2,right_hand,0,True,,44805,45305
S01:T:record04:trial024,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,23,46212,46211,46711,4,tongue,0,True,,46836,47336
S01:T:record04:trial025,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,24,48165,48164,48664,2,right_hand,0,True,,48789,49289
S01:T:record04:trial026,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,25,50126,50125,50625,1,left_hand,0,True,,50750,51250
S01:T:record04:trial027,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,26,52230,52229,52729,3,feet,0,True,,52854,53354
S01:T:record04:trial028,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,27,54234,54233,54733,2,right_hand,0,True,,54858,55358
S01:T:record04:trial029,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,28,56209,56208,56708,1,left_hand,0,True,,56833,57333
S01:T:record04:trial030,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,29,58235,58234,58734,3,feet,0,True,,58859,59359
S01:T:record04:trial031,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,30,60306,60305,60805,3,feet,0,True,,60930,61430
S01:T:record04:trial032,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,31,62413,62412,62912,1,left_hand,0,True,,63037,63537
S01:T:record04:trial033,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,32,64505,64504,65004,3,feet,0,True,,65129,65629
S01:T:record04:trial034,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,33,66596,66595,67095,4,tongue,0,True,,67220,67720
S01:T:record04:trial035,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,34,68639,68638,69138,4,tongue,0,True,,69263,69763
S01:T:record04:trial036,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,35,70703,70702,71202,2,right_hand,0,True,,71327,71827
S01:T:record04:trial037,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,36,72723,72722,73222,1,left_hand,0,True,,73347,73847
S01:T:record04:trial038,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,37,74695,74694,75194,2,right_hand,0,True,,75319,75819
S01:T:record04:trial039,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,38,76658,76657,77157,4,tongue,0,True,,77282,77782
S01:T:record04:trial040,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,39,78583,78582,79082,2,right_hand,0,True,,79207,79707
S01:T:record04:trial041,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,40,80664,80663,81163,4,tongue,0,True,,81288,81788
S01:T:record04:trial042,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,41,82642,82641,83141,3,feet,0,True,,83266,83766
S01:T:record04:trial043,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,42,84632,84631,85131,2,right_hand,0,True,,85256,85756
S01:T:record04:trial044,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,43,86751,86750,87250,2,right_hand,0,True,,87375,87875
S01:T:record04:trial045,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,44,88657,88656,89156,2,right_hand,0,True,,89281,89781
S01:T:record04:trial046,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,45,90585,90584,91084,3,feet,0,True,,91209,91709
S01:T:record04:trial047,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,46,92699,92698,93198,4,tongue,1,False,organizer_artifact_flag,93323,93823
S01:T:record04:trial048,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,4,1,47,94758,94757,95257,1,left_hand,0,True,,95382,95882
S01:T:record05:trial001,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,0,251,250,750,2,right_hand,0,True,,875,1375
S01:T:record05:trial002,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,1,2254,2253,2753,4,tongue,1,False,organizer_artifact_flag,2878,3378
S01:T:record05:trial003,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,2,4172,4171,4671,1,left_hand,1,False,organizer_artifact_flag,4796,5296
S01:T:record05:trial004,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,3,6124,6123,6623,3,feet,0,True,,6748,7248
S01:T:record05:trial005,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,4,8132,8131,8631,3,feet,0,True,,8756,9256
S01:T:record05:trial006,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,5,10243,10242,10742,4,tongue,0,True,,10867,11367
S01:T:record05:trial007,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,6,12160,12159,12659,1,left_hand,0,True,,12784,13284
S01:T:record05:trial008,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,7,14210,14209,14709,1,left_hand,0,True,,14834,15334
S01:T:record05:trial009,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,8,16141,16140,16640,3,feet,1,False,organizer_artifact_flag,16765,17265
S01:T:record05:trial010,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,9,18139,18138,18638,2,right_hand,0,True,,18763,19263
S01:T:record05:trial011,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,10,20045,20044,20544,4,tongue,0,True,,20669,21169
S01:T:record05:trial012,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,11,21940,21939,22439,4,tongue,0,True,,22564,23064
S01:T:record05:trial013,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,12,23912,23911,24411,4,tongue,0,True,,24536,25036
S01:T:record05:trial014,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,13,25856,25855,26355,2,right_hand,0,True,,26480,26980
S01:T:record05:trial015,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,14,27823,27822,28322,1,left_hand,0,True,,28447,28947
S01:T:record05:trial016,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,15,29943,29942,30442,3,feet,0,True,,30567,31067
S01:T:record05:trial017,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,16,31951,31950,32450,2,right_hand,0,True,,32575,33075
S01:T:record05:trial018,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,17,34017,34016,34516,4,tongue,0,True,,34641,35141
S01:T:record05:trial019,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,18,36053,36052,36552,1,left_hand,0,True,,36677,37177
S01:T:record05:trial020,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,19,38119,38118,38618,4,tongue,0,True,,38743,39243
S01:T:record05:trial021,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,20,40189,40188,40688,3,feet,0,True,,40813,41313
S01:T:record05:trial022,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,21,42269,42268,42768,2,right_hand,0,True,,42893,43393
S01:T:record05:trial023,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,22,44181,44180,44680,4,tongue,0,True,,44805,45305
S01:T:record05:trial024,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,23,46212,46211,46711,4,tongue,0,True,,46836,47336
S01:T:record05:trial025,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,24,48165,48164,48664,1,left_hand,0,True,,48789,49289
S01:T:record05:trial026,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,25,50126,50125,50625,2,right_hand,0,True,,50750,51250
S01:T:record05:trial027,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,26,52230,52229,52729,2,right_hand,0,True,,52854,53354
S01:T:record05:trial028,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,27,54234,54233,54733,3,feet,0,True,,54858,55358
S01:T:record05:trial029,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,28,56209,56208,56708,4,tongue,0,True,,56833,57333
S01:T:record05:trial030,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,29,58235,58234,58734,2,right_hand,0,True,,58859,59359
S01:T:record05:trial031,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,30,60306,60305,60805,1,left_hand,0,True,,60930,61430
S01:T:record05:trial032,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,31,62413,62412,62912,1,left_hand,0,True,,63037,63537
S01:T:record05:trial033,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,32,64505,64504,65004,4,tongue,0,True,,65129,65629
S01:T:record05:trial034,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,33,66596,66595,67095,2,right_hand,0,True,,67220,67720
S01:T:record05:trial035,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,34,68639,68638,69138,1,left_hand,0,True,,69263,69763
S01:T:record05:trial036,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,35,70703,70702,71202,3,feet,0,True,,71327,71827
S01:T:record05:trial037,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,36,72723,72722,73222,2,right_hand,0,True,,73347,73847
S01:T:record05:trial038,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,37,74695,74694,75194,2,right_hand,0,True,,75319,75819
S01:T:record05:trial039,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,38,76658,76657,77157,3,feet,0,True,,77282,77782
S01:T:record05:trial040,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,39,78583,78582,79082,1,left_hand,0,True,,79207,79707
S01:T:record05:trial041,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,40,80664,80663,81163,4,tongue,0,True,,81288,81788
S01:T:record05:trial042,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,41,82642,82641,83141,3,feet,0,True,,83266,83766
S01:T:record05:trial043,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,42,84632,84631,85131,3,feet,0,True,,85256,85756
S01:T:record05:trial044,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,43,86751,86750,87250,3,feet,0,True,,87375,87875
S01:T:record05:trial045,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,44,88657,88656,89156,3,feet,0,True,,89281,89781
S01:T:record05:trial046,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,45,90585,90584,91084,1,left_hand,0,True,,91209,91709
S01:T:record05:trial047,S01,A01T.mat,054f02e70cf9c4ada1517e9b9864f45407939c1062c6793516585c6f511d0325,T,5,2,46,92699,92698,93198,2,right_hand,0,True,,93323,93823
